gameweek,season,week,favorite,underdog,spread,fav_implied_score,und_implied_score,total,favML,undML,favoritehome,spreadflag,spread_0to3,spread_35to7,spread_75to10,spread_105to14,spread_145plus,fav_as_fav_last_5_ats_percent,und_as_und_last_5_ats_percent,fav_last_5_percent,und_last_5_percent,fav_last_5_ats_percent,und_last_5_ats_percent,fav_score_last5,und_score_last5,fav_spread_diff_last5,und_spread_diff_last5,fav_passing_yds_last5,und_passing_yds_last5,fav_passing_yds_per_cmp_last5,und_passing_yds_per_cmp_last5,fav_passing_cmp_last5,und_passing_cmp_last5,fav_rushing_yds_last5,und_rushing_yds_last5,fav_rushing_per_att_last5,und_rushing_per_att_last5,fav_passing_tds_last5,und_passing_tds_last5,fav_total_tds_last5,und_total_tds_last5,fav_fg_made_last5,und_fg_made_last5,fav_fg_percent_last5,und_fg_percent_last5,fav_xp_made_last5,und_xp_made_last5,fav_def_ffum_last5,und_def_ffum_last5,fav_def_int_last5,und_def_int_last5,fav_def_sk_last5,und_def_sk_last5,fav_def_tkl_last5,und_def_tkl_last5,fav_to_fum_lost_last5,und_to_fum_lost_last5,fav_to_int_last5,und_to_int_last5,fav_total_to_last5,und_total_to_last5,fav_against_und_last_5_ats_percent,fav_against_und_last_5_percent,fav_as_fav_last_10_ats_percent,und_as_und_last_10_ats_percent,fav_last_10_percent,und_last_10_percent,fav_last_10_ats_percent,und_last_10_ats_percent,fav_score_last10,und_score_last10,fav_spread_diff_last10,und_spread_diff_last10,fav_passing_yds_last10,und_passing_yds_last10,fav_passing_yds_per_cmp_last10,und_passing_yds_per_cmp_last10,fav_passing_cmp_last10,und_passing_cmp_last10,fav_rushing_yds_last10,und_rushing_yds_last10,fav_rushing_per_att_last10,und_rushing_per_att_last10,fav_passing_tds_last10,und_passing_tds_last10,fav_total_tds_last10,und_total_tds_last10,fav_fg_made_last10,und_fg_made_last10,fav_fg_percent_last10,und_fg_percent_last10,fav_xp_made_last10,und_xp_made_last10,fav_def_ffum_last10,und_def_ffum_last10,fav_def_int_last10,und_def_int_last10,fav_def_sk_last10,und_def_sk_last10,fav_def_tkl_last10,und_def_tkl_last10,fav_to_fum_lost_last10,und_to_fum_lost_last10,fav_to_int_last10,und_to_int_last10,fav_total_to_last10,und_total_to_last10,fav_as_fav_last_ats_percent,und_as_und_last_ats_percent,fav_last_percent,und_last_percent,fav_last_ats_percent,und_last_ats_percent,fav_score_last,und_score_last,fav_spread_diff_last,und_spread_diff_last,fav_passing_yds_last,und_passing_yds_last,fav_passing_yds_per_cmp_last,und_passing_yds_per_cmp_last,fav_passing_cmp_last,und_passing_cmp_last,fav_rushing_yds_last,und_rushing_yds_last,fav_rushing_per_att_last,und_rushing_per_att_last,fav_passing_tds_last,und_passing_tds_last,fav_total_tds_last,und_total_tds_last,fav_fg_made_last,und_fg_made_last,fav_fg_percent_last,und_fg_percent_last,fav_xp_made_last,und_xp_made_last,fav_def_ffum_last,und_def_ffum_last,fav_def_int_last,und_def_int_last,fav_def_sk_last,und_def_sk_last,fav_def_tkl_last,und_def_tkl_last,fav_to_fum_lost_last,und_to_fum_lost_last,fav_to_int_last,und_to_int_last,fav_total_to_last,und_total_to_last,fav_as_fav_against_und_last_ats_percent,fav_against_und_last_ats_percent,fav_against_und_last_percent,sunday,monday,thursday,saturday,morning,afternoon,night,central_central,central_east,central_mountain,central_west,east_central,east_east,east__mountain,east_west,mountain_central,mountain_east,mountain_mountain,mountain_west,west_central,west_east,west_mountain,west_west,Temp,Dome,Fair,Partly_Cloudy,Mostly_Cloudy,Breezy,Windy,Blizzard,Light_Rain,Heavy_Rain,Light_Snow,Heavy_Snow,Thunderstorm
201001,2010,1,ARI,LA,-3,21,18,39,-165,145,0,1,1,0,0,0,0,0.2,0.4,0.6,0,0.4,0.4,21.6,9,13.4,-6.7,229.6,138.8,10.91348728,7.579142404,0.621065587,0.568736157,94.6,97.2,4.12165873,3.922344322,1.6,0.6,3.2,1.2,1.2,1.6,0.8,0.733333333,2.4,0.6,0.4,1.4,2,0,2.2,1.4,54.8,54.4,1.8,0.6,1.2,2,3,2.6,0.2,0.4,0.3,0.5,0.6,0.1,0.5,0.5,23.9,12.1,11.1,-4.2,243.1,218.7,10.80423818,10.00587542,0.641694248,0.587144551,101,109,4.200115079,4.187775392,1.5,1.2,3,2.4,1,1.6,0.8,0.783333333,2.3,1.2,0.4,1.2,1.4,0.2,2.7,1.4,53.2,51.6,1.4,0.3,1,1.5,2.4,1.8,0,0,0,0,0,0,7,6,29,-15,139,80,7.315789474,7.272727273,0.612903226,0.392857143,48,87,3.428571429,3.346153846,1,0,2,0,0,2,0,0.666666667,1,0,0,1,1,0,1,3,56,54,0,0,3,0,3,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,78,1,0,0,0,0,0,0,0,0,0,0,0
201001,2010,1,ATL,PIT,-1,20,19,39,-120,100,0,0,1,0,0,0,0,0.6,0.2,0.6,0.6,0.8,0.25,18.2,24,-6.8,6.7,232.6,292.2,11.29516908,14.28269101,0.568242934,0.620188688,115.2,104.4,3.854288054,3.883420012,1.6,1.8,3.2,3.6,1.4,2.4,0.533333333,0.9,1.8,2.4,0.6,0.4,1.4,0.8,1.4,2.2,48.6,47.4,0.4,0.4,1,0.6,1.4,1,,,0.6,0.1,0.5,0.5,0.7,0.444444444,21.9,22.8,-1.25,4.65,264.2,274.4,11.29727008,12.55498448,0.599028156,0.608331524,113.8,115,4.099168784,4.116981968,1.8,1.7,3.6,3.4,1.6,2,0.65,0.95,2.3,2.3,0.6,0.6,0.9,0.5,1.6,2.7,47.8,46.7,0.5,0.4,0.8,0.8,1.3,1.2,1,1,1,1,1,1,20,30,-7,-3,223,220,9.695652174,12.22222222,0.657142857,0.642857143,183,202,4.945945946,5.611111111,2,3,4,6,2,3,0.666666667,1,2,3,1,0,2,3,1,3,42,50,1,1,2,1,3,2,,,,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,64,0,0,0,1,0,0,0,0,0,0,0,0
201001,2010,1,CHI,DET,-6.5,25,19,44.5,-300,250,1,0,0,1,0,0,0,0.4,0.5,0.6,0,0.4,0.5,22.2,13.8,-2,-6,200.6,181.2,11.93425999,10.63071813,0.539285714,0.531383653,111.2,111.6,3.960458499,4.171826464,2.2,0.6,4.4,1.2,1.4,1.4,0.55,0.6,2.2,1,1.4,1,0.6,0.6,2.2,1.4,57.8,46.2,0.6,1,1.4,2,2,3,0.4,0.4,0.4,0.375,0.4,0.1,0.3,0.25,19.8,15.9,-1.7,-2.95,198.3,227.4,11.05491735,10.71999793,0.574659325,0.56647576,101.1,88.1,3.988370834,3.697864388,1.6,1.2,3.2,2.4,1.7,1.3,0.705,0.6,1.8,1.4,1.4,0.8,0.8,0.4,2.2,1.3,54,47.3,0.4,1,1.6,1.7,2,2.7,1,0,1,0,1,0,37,23,-9.5,-9.5,276,262,12.54545455,11.39130435,0.611111111,0.676470588,150,100,5.357142857,4,4,2,8,4,3,3,1,1,4,2,2,1,1,0,2,2,51,49,0,1,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,73,0,1,0,0,0,0,0,0,0,0,0,0
201001,2010,1,DAL,WAS,-3.5,21,18,40,-200,170,0,0,0,1,0,0,0,0.6,0.5,0.6,0.2,0.6,0.5,21.2,19.2,-0.3,-10.6,310,263.6,12.24927806,11.81655462,0.677924758,0.616583417,117,76.8,3.835609903,3.551395524,1.8,1.6,3.6,3.2,1,1.4,0.566666667,0.55,2.6,1.8,1.2,0.8,0.8,0.8,2.6,2.6,42,55.2,0.2,0.8,0.4,1,0.6,1.8,0.2,0.4,0.5,0.555555556,0.7,0.2,0.6,0.555555556,20.2,18.7,1.35,-3,278.4,251.7,12.33852431,11.20161064,0.646607505,0.627000091,113.9,97.9,4.307921151,4.00687958,1.6,1.4,3.2,2.8,0.7,1.4,0.383333333,0.591666667,2.2,1.9,0.9,0.6,0.5,1,2.6,2.8,43.2,50.2,0.7,0.5,0.5,0.9,1.2,1.4,1,0,1,0,1,0,24,20,-21,0,311,281,12.95833333,10.03571429,0.705882353,0.666666667,179,64,5.59375,2.909090909,2,2,4,4,1,2,0.5,1,3,2,1,0,0,1,4,1,35,48,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,1,0,0,0,0,0,0,0,0
201001,2010,1,GB,PHI,-3,25,22,48,-145,125,0,1,1,0,0,0,0,1,0.2,0.8,0.8,1,0.6,33,27.2,-1.2,-10.4,268.2,288.8,12.83173077,15.35039683,0.633735632,0.589153439,112.4,87.6,4.235658251,3.627004662,1.6,1.6,3.2,3.2,1.4,1.6,0.666666667,0.733333333,3.4,2.2,0.2,1.4,2.4,1.4,2.8,2.6,47.8,53.4,0.6,0.6,0.6,0.8,1.2,1.4,,,0.777777778,0.1,0.7,0.7,0.777777778,0.5,30,26.6,3.2,-2,276.7,299.4,12.15777808,13.6109127,0.645032197,0.639218407,112.8,93.8,4.308770159,3.700717185,1.7,1.8,3.4,3.6,1.6,1.8,0.75,0.816666667,3,2.2,0.4,0.8,1.8,1,3.1,2.3,46.4,50,0.7,0.7,0.3,0.8,1,1.5,1,0,1,0,1,0,33,0,29,-21,242,223,11,11.15,0.75862069,0.555555556,109,37,3.205882353,3.7,1,0,2,0,1,0,1,0,3,0,0,0,3,1,0,2,40,52,0,1,1,0,1,1,,,,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,1,0,0,0,0,0,0,0,0
201001,2010,1,IND,HOU,-1.5,24,23,48,-125,105,0,0,1,0,0,0,0,0.8,0.6,0.6,0.8,0.6,0.4,22.4,25.8,-1.7,1.4,233.6,312.2,11.23937198,12.70548813,0.593658301,0.659746049,66,95,2.708451231,3.512824675,1.8,1.6,3.6,3.2,0.6,1.6,0.333333333,0.65,2.6,2.4,0.4,0.6,0.6,0.8,1.6,3,61.4,53.2,0.4,0.6,1.4,1.2,1.8,1.8,0.2,0.4,0.6,0.4,0.8,0.6,0.5,0.444444444,23.7,24.5,0.05,-0.45,243.3,274.1,11.05434844,12.39389761,0.653456899,0.668618446,105.3,108.1,3.809027939,3.815233424,2.4,2,4.8,4,0.7,1.5,0.466666667,0.658333333,3,2.6,0.9,0.8,1,0.8,1.4,2.5,55.7,50.8,0.3,0.4,1.3,0.8,1.6,1.2,0,1,0,1,0,0,7,34,-15,1,134,303,7.444444444,12.625,0.514285714,0.615384615,25,144,1.5625,5.333333333,0,2,0,4,0,0,0,0,1,4,0,1,0,1,0,2,59,48,1,0,2,1,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,88,0,0,1,0,0,0,0,0,0,0,0,0
201001,2010,1,JAC,DEN,-3,22,19,41.5,-175,155,1,1,1,0,0,0,0,0,0.4,0.2,0.2,0.2,0.4,17.6,26,-2.2,3.5,197.4,271,11.42346855,11.33041062,0.571578755,0.619221152,114,114.8,4.04775817,3.835064935,1.4,1.8,2.8,3.6,1.2,2.2,0.6,0.9,2,2.4,1,1.2,1.2,1.8,0.8,1.4,54.6,49,0.2,0.4,0.8,1.2,1,1.6,,,0,0.6,0.4,0.2,0.2,0.3,17,19.3,-2.1,-0.1,223.3,253.9,11.34016417,11.81696592,0.609594583,0.600124553,104.7,121.1,3.993463767,4.489457601,1.1,1.5,2.2,3,1.3,1.9,0.583333333,0.833333333,1.5,2,0.9,0.9,1.1,1.1,1.1,1.9,49,49.9,0.8,0.7,0.6,1,1.4,1.7,0,1,0,0,0,0,17,24,-4,29,202,431,9.181818182,13.46875,0.564102564,0.571428571,131,84,5.458333333,3.818181818,2,1,4,2,1,1,0.5,1,2,3,0,0,1,2,0,0,60,45,0,0,1,3,1,3,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,91,0,0,1,0,0,0,0,0,0,0,0,0
201001,2010,1,MIA,BUF,-3,21,18,39,-170,150,0,1,1,0,0,0,0,0.2,0.5,0.4,0.4,0.6,0.5,20.8,14.4,4,-8.2,289.8,132.4,10.88247947,9.232924837,0.643059065,0.576835582,102.8,143.2,3.730518519,4.706297447,1.2,1,2.4,2,1.8,2,0.733333333,0.85,1.8,1.2,1,1.2,1,1.4,1.8,2.6,52.2,54.2,0.6,0.8,1.8,1,2.4,1.8,0.2,0.2,0.1,0.444444444,0.5,0.4,0.6,0.555555556,21.4,16.5,6.85,-3.1,237.9,192.4,10.66122191,10.66223476,0.606794959,0.592002147,120.4,113.1,4.040172592,4.185201355,1,0.9,2,1.8,1.9,1.8,0.766666667,0.875,1.7,1.2,0.8,1.1,1.2,1.4,2.6,1.9,48.7,53.2,0.4,0.7,1.5,1.4,1.9,2.1,0,0,0,1,0,1,24,30,-3,-15,223,155,11.15,9.6875,0.666666667,0.64,99,248,3.96,5.904761905,2,3,4,6,1,3,1,1,3,3,2,0,1,2,3,1,59,41,0,0,3,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,64,0,0,0,1,0,0,0,0,0,0,0,0
201001,2010,1,NE,CIN,-5,25,20,45,-235,195,1,1,0,1,0,0,0,0.5,0.6,0.6,0.4,0.5,0.2,24,14.8,-1.7,-5.4,236.6,161.4,12.19496401,9.386955338,0.653938681,0.544632357,132.2,113.6,4.207568283,4.218290043,1.6,1.2,3.2,2.4,1,1.6,0.6,0.8,2.8,1,0.8,0.2,1,1.4,2.4,1.6,51.6,47.6,0.8,0.8,1,1,1.8,1.8,,,0.555555556,0.7,0.6,0.6,0.555555556,0.4,26.4,18.7,-4.4,5.05,277.9,181.1,12.1671436,10.2211944,0.650142976,0.573788676,120.6,121.6,3.960986907,4.185818611,1.3,1.1,2.6,2.2,1.4,1.7,0.68,0.73,2.7,1.4,0.9,0.5,1.2,1.3,2,1.9,47,43.5,0.7,0.7,0.8,0.6,1.5,1.3,1,0,0,0,1,0,27,0,1,-27,257,31,10.28,7.75,0.657894737,0.210526316,74,72,3.894736842,4,0,0,0,0,2,0,1,0,2,0,1,0,1,0,1,0,51,66,1,2,1,1,2,3,,,,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63,0,0,1,0,0,0,0,0,0,0,0,0
201001,2010,1,NYG,CAR,-5.5,23,17,40.5,-260,220,1,1,0,1,0,0,0,0.2,0.8,0.4,0.8,0.4,1,26,23.2,-3.2,12.3,278,198,13.67131197,12.36857143,0.654512794,0.639011858,88.4,166.4,3.702542014,4.657590357,1.8,1.6,3.6,3.2,0.8,1.8,0.8,0.7,2.8,2.2,0.8,1.6,0.8,2,1.8,2,55.8,52.4,1.6,0.2,0.8,0.2,2.4,0.4,0,0,0.4,0.6,0.3,0.6,0.2,0.8,22.4,22.1,5.9,9.95,300,202.1,13.03193376,11.96213944,0.642055333,0.617753828,83.2,160.7,3.979974142,4.873028566,1.4,1.5,2.8,3,1.4,1.7,0.833333333,0.65,2,2.4,0.8,1.3,0.5,1.7,1.6,1.8,55.6,49.3,1,0.1,0.9,0.6,1.9,0.7,0,1,0,1,0,1,7,23,-29,-3,167,162,8.35,11.57142857,0.714285714,0.608695652,35,178,2.916666667,4.810810811,0,1,0,2,0,3,0,1,1,2,1,2,0,1,0,0,54,47,1,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,1,0,0,0,0
